# Coverage grid: 17x17  cell_m=0.200  origin=(-1.65,-1.65)
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0
1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
