time_sec,tick,event_type,detail
7.00,0,AUTO_MODE,ENABLED
7.00,0,CLEAN_START,pos=(1.78,-0.78) totalWP=22
7.00,0,BEHAVIOUR_CHANGE,INIT->CLEAN gps=(1.78,-0.78) batt=99%
32.00,528,WP_REACHED,wp=0 pos=(-1.64,-1.79) err=0.218m
56.00,1018,LANE_DONE,lane=1 pos=(1.67,-1.85)
56.00,1018,WP_REACHED,wp=1 pos=(1.67,-1.85) err=0.180m
59.00,1085,WP_REACHED,wp=2 pos=(1.76,-1.68) err=0.201m
82.00,1554,LANE_DONE,lane=2 pos=(-1.66,-1.51)
82.00,1554,WP_REACHED,wp=3 pos=(-1.66,-1.51) err=0.190m
86.00,1638,WP_REACHED,wp=4 pos=(-1.74,-1.33) err=0.211m
109.00,2121,LANE_DONE,lane=3 pos=(1.66,-1.15)
109.00,2121,WP_REACHED,wp=5 pos=(1.66,-1.15) err=0.190m
112.00,2195,WP_REACHED,wp=6 pos=(1.76,-0.99) err=0.210m
135.00,2659,LANE_DONE,lane=4 pos=(-1.65,-0.81)
135.00,2659,WP_REACHED,wp=7 pos=(-1.65,-0.81) err=0.200m
139.00,2722,WP_REACHED,wp=8 pos=(-1.77,-0.65) err=0.215m
162.00,3225,LANE_DONE,lane=5 pos=(1.64,-0.45)
162.00,3225,WP_REACHED,wp=9 pos=(1.64,-0.45) err=0.210m
166.00,3301,WP_REACHED,wp=10 pos=(1.74,-0.29) err=0.220m
190.00,3992,LANE_DONE,lane=6 pos=(-1.69,-0.11)
190.00,3992,WP_REACHED,wp=11 pos=(-1.69,-0.11) err=0.160m
194.00,4081,WP_REACHED,wp=12 pos=(-1.79,0.09) err=0.171m
217.00,4602,LANE_DONE,lane=7 pos=(1.67,0.25)
217.00,4602,WP_REACHED,wp=13 pos=(1.67,0.25) err=0.180m
221.00,4720,WP_REACHED,wp=14 pos=(1.78,0.43) err=0.184m
244.00,5164,LANE_DONE,lane=8 pos=(-1.68,0.59)
244.00,5164,WP_REACHED,wp=15 pos=(-1.68,0.59) err=0.170m
248.00,5248,WP_REACHED,wp=16 pos=(-1.79,0.74) err=0.218m
272.00,5725,LANE_DONE,lane=9 pos=(1.67,0.94)
272.00,5725,WP_REACHED,wp=17 pos=(1.67,0.94) err=0.180m
275.00,5793,WP_REACHED,wp=18 pos=(1.76,1.11) err=0.210m
298.00,6224,LANE_DONE,lane=10 pos=(-1.64,1.29)
298.00,6224,WP_REACHED,wp=19 pos=(-1.64,1.29) err=0.210m
302.00,6318,WP_REACHED,wp=20 pos=(-1.78,1.48) err=0.184m
325.00,6759,LANE_DONE,lane=11 pos=(1.66,1.65)
325.00,6759,WP_REACHED,wp=21 pos=(1.66,1.65) err=0.190m
325.00,6760,CLEAN_PASS_DONE,pass=1 lanes=11 totalLanes=11 dist=122.30m pos=(1.66,1.65)
325.00,6761,CLEAN_START,pos=(1.66,1.65) totalWP=22
357.00,7383,WP_REACHED,wp=0 pos=(-1.69,-1.70) err=0.219m
379.00,7804,LANE_DONE,lane=1 pos=(1.66,-1.84)
379.00,7804,WP_REACHED,wp=1 pos=(1.66,-1.84) err=0.190m
384.00,7894,WP_REACHED,wp=2 pos=(1.77,-1.67) err=0.188m
406.00,8348,LANE_DONE,lane=2 pos=(-1.64,-1.52)
406.00,8348,WP_REACHED,wp=3 pos=(-1.64,-1.52) err=0.211m
411.00,8432,WP_REACHED,wp=4 pos=(-1.80,-1.32) err=0.177m
436.00,8923,LANE_DONE,lane=3 pos=(1.68,-1.16)
436.00,8923,WP_REACHED,wp=5 pos=(1.68,-1.16) err=0.170m
440.00,8996,WP_REACHED,wp=6 pos=(1.81,-0.98) err=0.184m
451.00,9212,BEHAVIOUR_CHANGE,CLEAN->WANDER gps=(0.35,-0.90) batt=40%
451.00,9212,BATTERY_WARN,below40% pos=(0.35,-0.90)
464.00,9466,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-2.00,-0.82) batt=38%
504.00,10287,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-2.04,-0.76) batt=33%
512.00,10432,WANDER_TURN,steer=0.09
521.00,10600,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.08,1.96) batt=31%
557.00,11323,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.27,2.07) batt=26%
557.00,11334,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(-1.18,2.07) batt=26%
558.00,11335,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(-1.18,2.07) batt=26%
576.00,11700,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(1.99,1.29) batt=23%
578.00,11734,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(2.02,1.31) batt=23%
579.00,11744,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(2.02,1.31) batt=23%
583.00,11851,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(2.02,1.15) batt=22%
586.00,11897,WANDER_TURN,steer=-1.02
587.00,11915,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(1.99,0.57) batt=22%
588.00,11940,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(2.02,0.39) batt=22%
589.00,11950,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(2.02,0.31) batt=22%
590.00,11973,BEHAVIOUR_CHANGE,AVOID->WANDER gps=(2.04,0.14) batt=21%
591.00,11994,BEHAVIOUR_CHANGE,WANDER->AVOID gps=(2.02,-0.04) batt=21%
601.00,12193,BATTERY_CRIT,below20% pos=(2.05,-0.25)
662.00,13378,BEHAVIOUR_CHANGE,AVOID->TRACK gps=(2.03,0.00) batt=12%
663.00,13387,BEHAVIOUR_CHANGE,TRACK->AVOID gps=(2.03,-0.06) batt=12%
664.00,13398,BEHAVIOUR_CHANGE,AVOID->TRACK gps=(2.03,-0.10) batt=12%
668.00,13497,DOCKED,pos=(1.87,-0.53) batt=10.9%
677.00,13498,CHARGE_COMPLETE,pos=(1.86,-0.54) dist=232.33m passes=1 batt=99.5%
