gps_x,gps_y,behaviour,battery_pct,time_sec
1.79,-0.78,CLEAN,98.8,9.0
1.62,-0.94,CLEAN,98.4,12.0
1.26,-0.97,CLEAN,98.1,14.0
0.79,-1.11,CLEAN,97.7,17.0
0.40,-1.22,CLEAN,97.5,19.0
0.05,-1.32,CLEAN,97.2,21.0
-0.20,-1.39,CLEAN,96.9,23.0
-0.68,-1.52,CLEAN,96.5,26.0
-1.06,-1.63,CLEAN,96.3,28.0
-1.50,-1.75,CLEAN,95.9,31.0
-1.66,-1.80,CLEAN,95.6,33.0
-1.66,-1.80,CLEAN,95.3,35.0
-1.32,-1.86,CLEAN,94.9,38.0
-0.95,-1.85,CLEAN,94.7,40.0
-0.47,-1.86,CLEAN,94.4,43.0
-0.08,-1.85,CLEAN,94.0,45.0
0.31,-1.85,CLEAN,93.7,47.0
0.81,-1.85,CLEAN,93.3,50.0
1.20,-1.85,CLEAN,93.1,52.0
1.57,-1.85,CLEAN,92.7,55.0
1.69,-1.85,CLEAN,92.4,57.0
1.76,-1.68,CLEAN,92.0,60.0
1.68,-1.62,CLEAN,91.7,62.0
1.21,-1.63,CLEAN,91.3,65.0
0.82,-1.60,CLEAN,91.1,67.0
0.43,-1.59,CLEAN,90.7,70.0
-0.07,-1.57,CLEAN,90.4,72.0
-0.47,-1.55,CLEAN,90.0,75.0
-0.96,-1.53,CLEAN,89.7,77.0
-1.35,-1.52,CLEAN,89.3,80.0
-1.61,-1.52,CLEAN,89.1,82.0
-1.70,-1.48,CLEAN,88.8,84.0
-1.74,-1.33,CLEAN,88.5,86.0
-1.69,-1.26,CLEAN,88.1,89.0
-1.39,-1.25,CLEAN,87.9,91.0
-0.99,-1.22,CLEAN,87.5,94.0
-0.59,-1.22,CLEAN,87.2,96.0
-0.13,-1.21,CLEAN,86.9,99.0
0.26,-1.19,CLEAN,86.5,101.0
0.65,-1.19,CLEAN,86.3,103.0
1.15,-1.17,CLEAN,85.9,106.0
1.57,-1.15,CLEAN,85.6,108.0
1.68,-1.15,CLEAN,85.2,111.0
1.76,-0.99,CLEAN,84.9,113.0
1.71,-0.94,CLEAN,84.7,115.0
1.42,-0.92,CLEAN,84.4,117.0
0.93,-0.91,CLEAN,84.0,120.0
0.53,-0.89,CLEAN,83.7,122.0
0.03,-0.88,CLEAN,83.3,125.0
-0.36,-0.86,CLEAN,83.1,127.0
-0.76,-0.85,CLEAN,82.7,130.0
-1.24,-0.83,CLEAN,82.4,132.0
-1.61,-0.81,CLEAN,82.0,135.0
-1.70,-0.78,CLEAN,81.7,137.0
-1.78,-0.62,CLEAN,81.3,140.0
-1.73,-0.61,CLEAN,81.1,142.0
-1.25,-0.57,CLEAN,80.8,145.0
-0.85,-0.55,CLEAN,80.4,147.0
-0.46,-0.54,CLEAN,80.1,149.0
-0.07,-0.52,CLEAN,79.9,151.0
0.33,-0.51,CLEAN,79.5,154.0
0.81,-0.49,CLEAN,79.2,156.0
1.18,-0.48,CLEAN,78.9,158.0
1.49,-0.46,CLEAN,78.5,161.0
1.66,-0.45,CLEAN,78.3,163.0
1.72,-0.33,CLEAN,77.9,166.0
1.69,-0.24,CLEAN,77.6,169.0
1.29,-0.23,CLEAN,77.2,171.0
0.99,-0.22,CLEAN,76.9,173.0
0.51,-0.20,CLEAN,76.5,176.0
0.12,-0.19,CLEAN,76.3,178.0
-0.38,-0.16,CLEAN,76.0,181.0
-0.77,-0.15,CLEAN,75.7,183.0
-0.87,-0.14,CLEAN,75.5,184.0
-1.06,-0.13,CLEAN,75.3,185.0
-1.17,-0.13,CLEAN,75.3,185.0
-1.27,-0.13,CLEAN,75.2,186.0
-1.44,-0.12,CLEAN,75.1,187.0
-1.54,-0.12,CLEAN,74.8,189.0
-1.69,-0.11,CLEAN,74.7,190.0
-1.76,-0.04,CLEAN,74.4,192.0
-1.80,0.12,CLEAN,74.0,195.0
-1.80,0.12,CLEAN,73.9,196.0
-1.52,0.15,CLEAN,73.6,198.0
-1.14,0.16,CLEAN,73.2,201.0
-0.79,0.17,CLEAN,72.9,203.0
-0.42,0.17,CLEAN,72.7,205.0
0.08,0.19,CLEAN,72.4,208.0
0.48,0.20,CLEAN,72.0,210.0
0.98,0.22,CLEAN,71.6,213.0
1.35,0.23,CLEAN,71.3,215.0
1.62,0.24,CLEAN,71.1,217.0
1.74,0.29,CLEAN,70.7,220.0
1.77,0.34,CLEAN,70.5,221.0
1.79,0.44,CLEAN,70.3,223.0
1.44,0.48,CLEAN,70.0,226.0
1.04,0.49,CLEAN,69.6,228.0
0.65,0.51,CLEAN,69.3,230.0
0.16,0.52,CLEAN,68.9,233.0
-0.34,0.54,CLEAN,68.5,236.0
-0.73,0.56,CLEAN,68.3,238.0
-1.21,0.58,CLEAN,67.9,241.0
-1.58,0.59,CLEAN,67.6,244.0
-1.70,0.59,CLEAN,67.2,246.0
-1.79,0.74,CLEAN,66.9,248.0
-1.72,0.78,CLEAN,66.7,251.0
-1.42,0.79,CLEAN,66.3,253.0
-0.93,0.82,CLEAN,65.9,256.0
-0.52,0.83,CLEAN,65.6,258.0
-0.03,0.86,CLEAN,65.3,260.0
0.32,0.87,CLEAN,64.9,263.0
0.72,0.88,CLEAN,64.7,265.0
1.11,0.91,CLEAN,64.3,268.0
1.52,0.93,CLEAN,64.0,270.0
1.69,0.94,CLEAN,63.6,273.0
1.76,1.11,CLEAN,63.3,275.0
1.77,1.13,CLEAN,62.9,278.0
1.33,1.19,CLEAN,62.7,280.0
0.83,1.20,CLEAN,62.3,283.0
0.34,1.21,CLEAN,61.9,286.0
-0.16,1.23,CLEAN,61.5,289.0
-0.64,1.25,CLEAN,61.2,291.0
-1.04,1.26,CLEAN,60.8,294.0
-1.50,1.28,CLEAN,60.4,297.0
-1.67,1.29,CLEAN,60.1,299.0
-1.73,1.41,CLEAN,59.7,302.0
-1.79,1.50,CLEAN,59.5,304.0
-1.53,1.55,CLEAN,59.2,306.0
-1.13,1.55,CLEAN,58.8,309.0
-0.65,1.57,CLEAN,58.4,312.0
-0.15,1.59,CLEAN,58.1,314.0
0.34,1.60,CLEAN,57.7,317.0
0.82,1.62,CLEAN,57.3,320.0
1.29,1.63,CLEAN,57.1,322.0
1.56,1.65,CLEAN,56.7,325.0
1.69,1.65,CLEAN,56.3,328.0
1.64,1.48,CLEAN,56.0,330.0
1.27,1.15,CLEAN,55.6,333.0
1.00,0.89,CLEAN,55.3,335.0
0.71,0.62,CLEAN,55.1,337.0
0.38,0.30,CLEAN,54.7,340.0
0.02,-0.05,CLEAN,54.3,343.0
-0.34,-0.40,CLEAN,54.0,345.0
-0.63,-0.67,CLEAN,53.6,348.0
-0.96,-1.00,CLEAN,53.3,350.0
-1.25,-1.27,CLEAN,52.9,353.0
-1.58,-1.59,CLEAN,52.7,355.0
-1.70,-1.71,CLEAN,52.3,358.0
-1.57,-1.80,CLEAN,52.0,360.0
-1.08,-1.77,CLEAN,51.6,363.0
-0.58,-1.79,CLEAN,51.2,366.0
-0.08,-1.80,CLEAN,50.8,369.0
0.40,-1.82,CLEAN,50.5,372.0
0.90,-1.83,CLEAN,50.1,374.0
1.29,-1.84,CLEAN,49.9,376.0
1.61,-1.84,CLEAN,49.5,379.0
1.71,-1.80,CLEAN,49.2,382.0
1.77,-1.67,CLEAN,48.8,384.0
1.67,-1.61,CLEAN,48.4,387.0
1.31,-1.62,CLEAN,48.1,389.0
0.80,-1.59,CLEAN,47.9,391.0
0.41,-1.58,CLEAN,47.5,394.0
-0.08,-1.56,CLEAN,47.1,397.0
-0.45,-1.54,CLEAN,46.8,399.0
-0.95,-1.53,CLEAN,46.5,402.0
-1.33,-1.52,CLEAN,46.1,404.0
-1.64,-1.52,CLEAN,45.9,407.0
-1.73,-1.45,CLEAN,45.5,409.0
-1.81,-1.30,CLEAN,45.1,412.0
-1.70,-1.24,CLEAN,44.7,415.0
-1.36,-1.29,CLEAN,44.4,417.0
-0.89,-1.26,CLEAN,44.0,420.0
-0.50,-1.24,CLEAN,43.7,422.0
-0.10,-1.23,CLEAN,43.3,425.0
0.30,-1.22,CLEAN,43.1,427.0
0.78,-1.19,CLEAN,42.7,430.0
1.37,-1.17,CLEAN,42.4,432.0
1.53,-1.16,CLEAN,42.0,435.0
1.69,-1.16,CLEAN,41.7,437.0
1.81,-0.98,CLEAN,41.3,440.0
1.81,-0.97,CLEAN,41.1,442.0
1.34,-0.95,CLEAN,40.7,445.0
0.94,-0.93,CLEAN,40.4,447.0
0.45,-0.91,CLEAN,40.0,450.0
0.06,-0.89,WANDER,39.7,452.0
-0.44,-0.87,WANDER,39.3,455.0
-0.92,-0.86,WANDER,39.1,458.0
-1.31,-0.84,WANDER,38.7,460.0
-1.81,-0.82,WANDER,38.3,463.0
-2.06,-0.82,AVOID,38.0,465.0
-2.07,-0.78,AVOID,37.7,467.0
-2.04,-0.84,AVOID,37.3,470.0
-2.00,-0.91,AVOID,37.1,472.0
-2.06,-0.91,AVOID,36.7,475.0
-2.03,-1.00,AVOID,36.4,477.0
-2.02,-1.04,AVOID,36.0,480.0
-2.07,-0.99,AVOID,35.7,482.0
-2.07,-0.98,AVOID,35.3,485.0
-2.03,-1.05,AVOID,34.9,488.0
-2.06,-0.98,AVOID,34.7,491.0
-2.04,-0.99,AVOID,34.3,493.0
-2.07,-0.92,AVOID,34.0,495.0
-2.03,-0.95,AVOID,33.7,498.0
-2.03,-0.98,AVOID,33.3,500.0
-2.03,-0.97,AVOID,33.1,502.0
-2.03,-0.68,WANDER,32.7,505.0
-1.93,-0.30,WANDER,32.4,507.0
-1.81,0.16,WANDER,32.0,510.0
-1.69,0.63,WANDER,31.6,513.0
-1.54,1.10,WANDER,31.2,516.0
-1.33,1.55,WANDER,30.9,518.0
-1.08,1.96,WANDER,30.5,521.0
-1.05,2.05,AVOID,30.1,524.0
-1.02,2.09,AVOID,29.9,526.0
-1.07,2.07,AVOID,29.5,529.0
-1.06,2.10,AVOID,29.2,531.0
-1.09,2.09,AVOID,28.8,534.0
-1.15,2.05,AVOID,28.4,537.0
-1.21,2.06,AVOID,28.1,539.0
-1.24,2.05,AVOID,27.7,542.0
-1.26,2.07,AVOID,27.5,544.0
-1.27,2.08,AVOID,27.1,547.0
-1.29,2.08,AVOID,26.8,549.0
-1.30,2.09,AVOID,26.5,551.0
-1.32,2.12,AVOID,26.3,553.0
-1.40,2.05,AVOID,26.0,555.0
-1.09,2.06,WANDER,25.6,558.0
-0.64,1.95,WANDER,25.2,561.0
-0.32,1.87,WANDER,24.9,563.0
0.16,1.75,WANDER,24.5,566.0
0.55,1.65,WANDER,24.3,568.0
1.03,1.53,WANDER,23.9,571.0
1.51,1.41,WANDER,23.5,574.0
1.99,1.29,WANDER,23.2,576.0
2.02,1.31,AVOID,22.8,579.0
2.04,1.22,AVOID,22.5,581.0
2.01,1.23,AVOID,22.3,583.0
2.00,0.77,WANDER,21.9,586.0
2.02,0.31,WANDER,21.6,588.0
2.02,-0.04,AVOID,21.2,591.0
2.09,-0.20,AVOID,20.8,594.0
2.05,-0.12,AVOID,20.5,596.0
2.04,-0.13,AVOID,20.3,599.0
2.05,-0.25,AVOID,19.9,601.0
2.05,-0.18,AVOID,19.5,604.0
2.04,-0.13,AVOID,19.1,607.0
2.06,-0.16,AVOID,18.7,610.0
2.05,-0.10,AVOID,18.4,613.0
2.05,-0.05,AVOID,18.0,615.0
2.08,-0.06,AVOID,17.7,617.0
2.02,0.02,AVOID,17.3,620.0
2.03,-0.05,AVOID,17.1,622.0
2.03,-0.02,AVOID,16.7,625.0
2.05,-0.07,AVOID,16.4,627.0
2.05,-0.08,AVOID,16.0,630.0
2.03,-0.03,AVOID,15.7,632.0
2.02,-0.01,AVOID,15.3,635.0
2.07,-0.04,AVOID,14.9,638.0
2.05,-0.05,AVOID,14.7,640.0
2.05,-0.01,AVOID,14.4,642.0
2.10,-0.05,AVOID,14.0,645.0
2.02,0.08,AVOID,13.6,648.0
2.04,0.03,AVOID,13.3,650.0
2.07,0.01,AVOID,12.9,653.0
2.08,0.04,AVOID,12.7,655.0
2.07,-0.01,AVOID,12.3,658.0
2.05,0.04,AVOID,11.9,661.0
2.03,-0.10,TRACK,11.5,664.0
1.95,-0.36,TRACK,11.2,666.0
